"","freq","word"
"765",13,"графика16выставки"
"766",13,"12попмузыкаконцертыавторская"
"767",13,"прочееспорт"
"768",13,"попмузыкаклассическаяконцерты12"
"769",13,"оператеатр"
"770",13,"хоккейспорт"
"771",13,"детямвыходные"
"772",13,"искусствовыставки12"
"773",13,"музыкаконцерты12"
"774",13,"12рэп"
"775",13,"детямfree"
"776",13,"фолк12классическая"
"777",13,"музыкадругоерок"
"778",13,"магазиныярмарки"
"779",13,"моноспектакльспектакльтеатр"
"780",13,"развлеченияконцерты"
"781",13,"мастерство"
"782",13,"freeдругое18концерты"
"783",13,"музыка18"
"784",13,"open"
"785",13,"12концертыджаз"
"786",13,"графикафестивали"
"787",13,"развлеченияночь16"
"788",13,"итдспектакльбалет"
"789",13,"выставкипрочее"
"790",13,"маефестивали"
"791",13,"свиданиетеатр"
"792",13,"мая"
"793",13,"музеевдетские"
"794",13,"ярмаркиукрашения"
"795",13,"кинопоказы18кино"
"796",13,"прочееприкладное"
"797",13,"6знанияискусствоклассическаяконцерты"
"798",13,"изделияярмарки"
"799",13,"экспортистория"
"800",13,"музыка18танцевальнаяэлектроникавечеринкипотанцевать"
"801",13,"развлеченияпарки"
"802",13,"детямконцертыдетские"
"803",13,"спортивные"
"804",13,"мирегастрономические"
"805",13,"тематические"
"806",13,"праздникиевропа"
"807",13,"встречикино"
"808",13,"аттракционовдетские"
"809",13,"концерты6авторская"
"810",13,"рокнролл18тяжелый"
"811",13,"детямискусстводетскиеконцерты6детские"
"812",13,"18акции"
"813",12,"развлеченияфлешмобы"
"814",12,"блюзпопмузыка16"
"815",12,"металконцерты12"
"816",12,"6классическаяконцертыдетские"
"817",12,"моноспектакль16спектакльтеатр"
"818",12,"война"
"819",12,"попмузыкадругоеконцерты12"
"820",12,"актерское"
"821",12,"музыкаэкспериментальная"
"822",12,"6попмузыкадругоеклассическаяконцерты"
"823",12,"6freeклассическаяконцерты"
"824",12,"концертытворческие"
"825",12,"freeзнанияискусство"
"826",12,"концертыавторская16"
"827",12,"личности12"
"828",12,"отдых12"
"829",12,"рокнроллконцертыметал18"
"830",12,"16спектакльбалеттеатр"
"831",12,"квестыигры"
"832",12,"вечераповышение"
"833",12,"12фестивали"
"834",12,"фестивалипраздники"
"835",12,"шоушоу"
"836",12,"развлеченияновый"
"837",12,"квестыквесты"
"838",12,"драмадраматические"
"839",12,"16премьераспектакльэкспериментальный"
"840",12,"постановкиспектакль12театр"
"841",12,"театр16театр"
"842",12,"премьераспектакльэкспериментальный"
"843",12,"прочеевыставки"
"844",12,"развлечения6детские"
"845",12,"песнимировая"
"846",12,"18концертыэлектроникаэлектронная"
"847",12,"фестивалив"
"848",12,"концертыпопмузыкаавторская12"
"849",12,"праздникиазияв"
"850",12,"18личные"
